2018-06-07 20:19:09,"b'#sad #realDonaldTrump #faketweets: RT WhiteHouse: Paul Bedard reports in the Washington Examiner: ""$3 billion payof\xe2\x80\xa6 https://t.co/tEEEGxXfUs'"
2018-06-07 20:18:54,b'#Operationbackyardbrawl \n#QAnon\n#realDonaldTrump\nThis video is great for sharing to your friends who are unaware of\xe2\x80\xa6 https://t.co/u9MapUnH6N'
2018-06-07 20:18:18,b'RT @BrutalRuinDave: Quick look at the Visions Vid :)\n@brutalruinmusic @irockme69 @Talentlotto @unionjackradio @MetalHammer @RepYoState #np\xe2\x80\xa6'
2018-06-07 20:18:03,b'RT @BrutalRuinDave: Awesome:)\n@brutalruinmusic @WudRecords @irockme69 @Talentlotto @unionjackradio @MetalHammer @RepYoState #np #UnsignedHo\xe2\x80\xa6'
2018-06-07 20:17:10,b'Can we send Trump there to confirm these findings? And how soon can he go?\n#nasa #NASASocial #realDonaldTrump'
2018-06-07 20:14:16,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 20:11:48,b'RT @BurgessOwens: Let\xe2\x80\x99s do what Americans do best...WIN!! Call out the Leftist for who they are.. anti-American #NFLBoycott #FoxNews #MakeA\xe2\x80\xa6'
2018-06-07 20:06:40,b'It is inappropriate for any administration to imply that thy will be in office for more that the term under the\xe2\x80\xa6 https://t.co/NFa29kcb6v'
2018-06-07 20:05:18,b'Awesome:)\n@brutalruinmusic @WudRecords @irockme69 @Talentlotto @unionjackradio @MetalHammer @RepYoState #np\xe2\x80\xa6 https://t.co/wZQBcHicTS'
2018-06-07 20:04:12,b'#sad #realDonaldTrump #faketweets: RT realDonaldTrump: Great day of meetings with Prime Minister AbeShinzo of Japan\xe2\x80\xa6 https://t.co/tXIDEynh2L'
2018-06-07 20:04:11,b'#sad #realDonaldTrump #faketweets: RT realDonaldTrump: PM Abe and I are also working to improve the trading relatio\xe2\x80\xa6 https://t.co/BSvP6OUggF'
2018-06-07 20:04:07,b'#sad #realDonaldTrump #faketweets: Great day of meetings with Prime Minister AbeShinzo of Japan! https://t.co/LxbwQb1OmO #cnn'
2018-06-07 20:04:06,b'#sad #realDonaldTrump #faketweets: PM Abe and I are also working to improve the trading relationship between the U.\xe2\x80\xa6 https://t.co/fAMEvgQo0A'
